wars,from,to,duration,notes,participation, number_participants,who,where,fatalities,url_source,memorials,links
Romanian Revolution,1989,1989,0,,Romania,1,Europe,Europe,909,Romanian Revolution,,http://www.war-memorial.net/Romanian-Revolution-3.327
Western Sahara War,1975,1989,14,,"Morocco, Western Sahara, Mauritania",3,Africa,Africa,"12,687",Western Sahara War,[1],http://www.war-memorial.net/Western-Sahara-War--3.193
Iran vs Iraq,1980,1988,3,,"Iraq, Iran",2,Asia,Asia,"644,500",Iran vs Iraq,[4],http://www.war-memorial.net/Iran-vs-Iraq-3.183
South Africa vs ANC,1981,1988,7,,South Africa,1,Africa,Africa,"4,087",South Africa vs ANC,,http://www.war-memorial.net/South-Africa-vs-ANC-3.317
Sino-Vietnamese War,1978,1988,10,,"Vietnam, China",2,Asia,Asia,"47,046",Sino-Vietnamese War,,http://www.war-memorial.net/Sino-Vietnamese-War--3.167
Namibia vs South Africa,1966,1988,22,,"Namibia, South Africa",2,Africa,Africa,"10,000",Namibia vs South Africa,[5],http://www.war-memorial.net/Namibia-vs-South-Africa-3.181
Chadian-Lybian War (Aouzou Strip),1987,1987,0,,"Libya, Chad",2,Africa,Africa,"8,500",Chadian-Lybian War (Aouzou Strip),,http://www.war-memorial.net/Chadian-Lybian-War-(Aouzou-Strip)-3.326
South Yemen Coup,1986,1986,0,,Yemen,1,Asia,Asia,"10,000",South Yemen Coup,,http://www.war-memorial.net/South-Yemen-Coup-3.179
Falklands War,1982,1982,0,,"UK, Argentina, Falkland Islands",3,"Europe, South America",South America,964,Falklands War,[5],http://www.war-memorial.net/Falklands-War-3.173
Syrian Govt vs Muslim Brotherhood,1979,1982,3,,Syria,1,Asia,Asia,"2,075",Syrian Govt vs Muslim Brotherhood,,http://www.war-memorial.net/Syrian-Govt-vs-Muslim-Brotherhood-3.171
Thai Govt vs CPT,1974,1982,8,,Thailand,1,Asia,Asia,"3,425",Thai Govt vs CPT,,http://www.war-memorial.net/Thai-Govt-vs-CPT-3.322
Nicaraguan Gvt vs Sandinistas,1978,1979,1,,Nicaragua,1,South America,South America,"10,000",Nicaraguan Gvt vs Sandinistas,[1],http://www.war-memorial.net/Nicaraguan-Gvt-vs-Sandinistas-3.164
Uganda vs Tanzania,1978,1979,1,,"Uganda, Tanzania",2,Africa,Africa,"3,847",Uganda vs Tanzania,,http://www.war-memorial.net/Uganda-vs-Tanzania--3.165
Iranian Revolution,1978,1979,1,,Iran,1,Asia,Asia,"1,100",Iranian Revolution,,http://www.war-memorial.net/Iranian-Revolution-3.166
"Rhodesian Government vs ZANU,ZAPU,PF",1967,1979,12,,Zimbabwe,1,Africa,Africa,"27,080","Rhodesian Government vs ZANU,ZAPU,PF",[3],"http://www.war-memorial.net/Rhodesian-Government-vs-ZANU,ZAPU,PF-3.161"
Vietnam vs Cambodia (Kampuchea),1978,1978,0,,"Vietnam, Cambodia",2,Asia,Asia,"32,500",Vietnam vs Cambodia (Kampuchea),,http://www.war-memorial.net/Vietnam-vs-Cambodia-(Kampuchea)--3.163
Indonesian annexation of West Papua,1962,1978,16,,"Indonesia, Netherlands",2,"Asia, Euope",Asia,"8,700",Indonesian annexation of West Papua,,http://www.war-memorial.net/Indonesian-annexation-of-West-Papua-3.304
Balochistan Insurgency,1974,1977,3,,Pakistan,1,Asia,Asia,"8,600",Balochistan Insurgency,,http://www.war-memorial.net/Balochistan-Insurgency-3.159
Argentina: Civil War and Dirty War,1974,1977,3,,Argentina,1,South America,South America,"4,677",Argentina: Civil War and Dirty War,[2],http://www.war-memorial.net/Argentina--Civil-War-and-Dirty-War-3.174
Chinese Cultural Revolution,1967,1976,9,,China,1,Asia,Asia,"2,050,000",Chinese Cultural Revolution,[1],http://www.war-memorial.net/Chinese-Cultural-Revolution-3.136
Cambodian Civil War,1967,1975,8,,"Cambodia, Vietnam",2,Asia,Asia,"250,000",Cambodian Civil War,,http://www.war-memorial.net/Cambodian-Civil-War--3.157
Vietnam War,1965,1975,10,,"Vietnam, United States, Australia, New Zealand, Thailand",5,"Asia, North America",Asia,"2,048,050",Vietnam War,[7],http://www.war-memorial.net/Vietnam-War--3.156
Angolan War of Independence,1961,1975,14,,"Portugal, Angola",2,"Africa, Europe",Africa,"79,000",Angolan War of Independence,[1],http://www.war-memorial.net/Angolan-War-of-Independence-3.154
Turko Cypriot War,1974,1974,0,,"Turkey, Greece, Cyprus",3,"Europe, Asia",Europe,"5,000",Turko Cypriot War,,http://www.war-memorial.net/Turko-Cypriot-War--3.153
Mozambique War of Independence,1964,1974,10,,"Mozambique, Portugal",2,"Africa, Europe",Africa,"13,500",Mozambique War of Independence,[2],http://www.war-memorial.net/Mozambique-War-of-Independence-3.155
Chilean MIlitary Coup,1973,1973,0,,Chile,1,South America,South America,"2,095",Chilean MIlitary Coup,[2],http://www.war-memorial.net/Chilean-MIlitary-Coup-3.186
Yom Kippur War,1973,1973,0,,"Israel, Egypt, Syria",3,"Asia, Africa",Asia,"6,450",Yom Kippur War,[1],http://www.war-memorial.net/Yom-Kippur-War--3.151
Guinea Bissau War of Independence,1963,1973,10,,"Portugal, Guinea-Bissau",2,"Africa, Europe",Africa,"15,000",Guinea Bissau War of Independence,[1],http://www.war-memorial.net/Guinea-Bissau-War-of-Independence-3.152
Laos Civil War,1959,1973,14,,"Laos, Thailand, United States",3,"Asia, North America",Asia,"21,500",Laos Civil War,,http://www.war-memorial.net/Laos-Civil-War-3.123
Hutu Rebellion,1972,1972,0,,Burundi,1,Africa,Africa,"153,000",Hutu Rebellion,,http://www.war-memorial.net/Hutu-Rebellion-3.149
Sudan Government vs Insurgents,1963,1972,9,,Sudan,1,Africa,Africa,"10,000",Sudan Government vs Insurgents,,http://www.war-memorial.net/Sudan-Government-vs-Insurgents-3.147
Bangladesh War,1971,1971,0,"Si consultas la misma visualización publicada en The Infographic History of the World, ten en cuenta que los datos de origen han sido actualizados.","India, Pakistan, Bangladesh",3,Asia,Asia,"50,000",Bangladesh War,[4],http://www.war-memorial.net/Bangladesh-War--3.145
Second Kashmir War,1964,1971,7,,"India, Pakistan",2,Asia,Asia,"16,327",Second Kashmir War,[2],http://www.war-memorial.net/Second-Kashmir-War-3.131
Israel vs Egypt,1969,1970,1,,"Israel, Egypt",2,"Asia, Africa",Asia,"5,520",Israel vs Egypt,,http://www.war-memorial.net/Israel-vs-Egypt-3.141
Nigerian Civil War,1967,1970,3,,Nigeria,1,Africa,Africa,"75,000",Nigerian Civil War,[2],http://www.war-memorial.net/Nigerian-Civil-War--3.140
North Yemen Civil War,1962,1970,8,,Yemen,1,Asia,Asia,"10,000",North Yemen Civil War,,http://www.war-memorial.net/North-Yemen-Civil-War-3.137
First Kurdish_Iraqi War,1961,1970,9,,Iraq,1,Asia,Asia,"6,600",First Kurdish_Iraqi War,,http://www.war-memorial.net/First-Kurdish%E2%80%93Iraqi-War-3.125
Football War Honduras vs El Salvador,1969,1969,0,,"Honduras, El Salvador",2,North America,North America,"2,107",Football War Honduras vs El Salvador,,http://www.war-memorial.net/Football-War-Honduras-vs-El-Salvador--3.139
The Six Day War,1967,1967,0,,"Israel, Jordan, Egypt, Syria",4,"Asia, Africa",Asia,"5,413",The Six Day War,[1],http://www.war-memorial.net/The-Six-Day-War--3.134
Dominican Republic Coup,1965,1965,0,,"Dominican Republic, United States",2,"North America",North America,"4,027",Dominican Republic Coup,,http://www.war-memorial.net/Dominican-Republic-Coup---3.130
Congo Crisis,1960,1965,5,,"Democratic Republic of the Congo, United States, Belgium, Congo",4,"Africa, Europe, North America",Africa,"7,175",Congo Crisis,[2],http://www.war-memorial.net/Congo-Crisis-3.128
First Rwanda Civil War,1963,1964,1,,Rwanda,1,Africa,Africa,"1,000",First Rwanda Civil War,,http://www.war-memorial.net/First-Rwanda-Civil-War-3.127
Vietnam Civil War,1955,1964,9,,"Vietnam, United States",2,"Asia, North America",Asia,"164,923",Vietnam Civil War,,http://www.war-memorial.net/Vietnam-Civil-War-3.129
Sino-Indian War,1962,1962,0,,"China, India",2,Asia,Asia,"2,105",Sino-Indian War,[2],http://www.war-memorial.net/Sino-Indian-War-3.124
Algerian War of Independece,1954,1962,8,,"France, Algeria",2,"Africa, Europe",Africa,"184,886",Algerian War of Independece,[2],http://www.war-memorial.net/Algerian-War-of-Independece-3.122
Bizerte Crisis,1961,1961,0,,"Tunisia, France",2,"Africa, Europe",Africa,"1,394",Bizerte Crisis,,http://www.war-memorial.net/Bizerte-Crisis-3.324
Cameroonian Govt vs UPC,1960,1961,1,,Cameroon,1,Africa,Africa,"60,000",Cameroonian Govt vs UPC,,http://www.war-memorial.net/Cameroonian-Govt-vs-UPC-3.325
"Indonesia vs PRRI, Permesta and Darul Islam",1953,1961,8,,"Indonesia, United States",2,"Asia, North America",Asia,"33,965","Indonesia vs PRRI, Permesta and Darul Islam",,"http://www.war-memorial.net/Indonesia-vs-PRRI,-Permesta-and-Darul-Islam-3.119"
Cuban Revolution,1953,1961,8,,Cuba,1,North America,North America,"1,205",Cuban Revolution,,http://www.war-memorial.net/Cuban-Revolution-3.115
1959 Mosul uprising in Iraq,1959,1959,0,,Iraq,1,Asia,Asia,"2,000",1959 Mosul uprising in Iraq,[1],http://www.war-memorial.net/1959-Mosul-uprising-in-Iraq-3.116
Cameroon War of Independence,1957,1959,2,,"Cameroon, France",2,"Africa, Europe",Africa,"11,700",Cameroon War of Independence,,http://www.war-memorial.net/Cameroon-War-of-Independence-3.118
Tibetan Uprising,1956,1959,3,,China,1,Asia,Asia,"16,000",Tibetan Uprising,,http://www.war-memorial.net/Tibetan-Uprising-3.117
First Lebanese War,1958,1958,0,,Lebanon,1,Asia,Asia,"1,400",First Lebanese War,,http://www.war-memorial.net/First-Lebanese-War-3.114
La Violencia,1948,1958,10,,Colombia,1,South America,South America,"29,800",La Violencia,,http://www.war-memorial.net/La-Violencia--3.88
Malayan Civil War,1948,1957,9,,"Malysia, United Kingdom, Australia",3,"Asia, Euope",Asia,"10,845",Malayan Civil War,[2],http://www.war-memorial.net/Malayan-Civil-War-3.113
Soviet Invasion of Hungary,1956,1956,0,,"Hungary, Soviet Union",2,"Asia, Euope",Europe,"3,171",Soviet Invasion of Hungary,[2],http://www.war-memorial.net/Soviet-Invasion-of-Hungary-3.111
Sinai War,1956,1956,0,,"Israel, Egypt, France, United Kingdom",4,"Asia, Euope",Asia,"2,142",Sinai War,[2],http://www.war-memorial.net/Sinai-War-3.112
"Kenya, Mau-Mau vs UK",1954,1956,2,,"Kenya, United Kingdom",2,"Africa, Europe",Africa,"12,955","Kenya, Mau-Mau vs UK",[3],"http://www.war-memorial.net/Kenya,-Mau-Mau-vs-UK-3.110"
Tunisian war of Independence,1953,1956,3,,"Tunisia, France",2,"Africa, Europe",Africa,"2,000",Tunisian war of Independence,,http://www.war-memorial.net/Tunisian-war-of-Independence-3.105
Moroccan War of Independence,1953,1956,3,,"Morocco, France, Spain",3,"Africa, Europe",Africa,"1,000",Moroccan War of Independence,,http://www.war-memorial.net/Moroccan-War-of-Independence-3.109
Taiwan Strait Crisis,1949,1954,5,,"Taiwan, China, United States",3,"Asia, North America",Asia,"10,025",Taiwan Strait Crisis,,http://www.war-memorial.net/Taiwan-Strait-Crisis-3.305
First Indochina War Comm. vs France,1946,1954,8,,"France, Vietnam",2,"Asia, Euope",Asia,"377,523",First Indochina War Comm. vs France,[2],http://www.war-memorial.net/First-Indochina-War-Comm.-vs-France-3.103
"Philippines, Huk rebels vs Govt",1946,1954,8,,Philippines,1,Asia,Asia,"9,695","Philippines, Huk rebels vs Govt",,"http://www.war-memorial.net/Philippines,-Huk-rebels-vs-Govt-3.99"
Korean War,1949,1953,4,,"North Korea, South Korea, China, United States, Australia",5,"Asia, North America",Asia,"995,025",Korean War,[11],http://www.war-memorial.net/Korean-War-3.101
Bolivian Revolution,1952,1952,0,,Bolivia,1,South America,South America,"1,000",Bolivian Revolution,,http://www.war-memorial.net/Bolivian-Revolution-3.98
